# File specifying when to use the various ALE/GAGE/AGAGE instruments
# A blank entry in either the start or end date means that the time is unbounded at that side
# If there is no entry for a species it is assumed that it is only measured on the GCMS-Medusa
# Time periods can overlap if you want to keep both instruments
# An "x" indicates that this instrument should not be included in timeseries for this species
# Date format should be YYYY-MM-DD HH:MM
# NOTE: ENSURE CELLS ARE FORMATTED AS TEXT, NOT DATES. IF PASTING VALUES ENSURE YOU "MATCH DESTINATION FORMATTING" TO PREVENT EXCEL FROM CONVERTING TO DATE AND TIME
Species,ALE start,ALE end,GAGE start,GAGE end,GCMD start,GCMD end,GCECD start,GCECD end,GCPDD start,GCPDD end,GCMS-ADS start,GCMS-ADS end,GCMS-Medusa start,GCMS-Medusa end,Picarro-1 start,Picarro-1 end,Picarro-2 start,Picarro-2 end,Picarro-3 start,Picarro-3 end
ch4,x,x,,1993-08-12 06:30,1993-08-12 06:30,2012-07-20 03:20,x,x,x,x,x,x,x,x,2012-07-20 03:20,2024-01-10 04:30,2024-01-10 04:30,,x,x
ch3ccl3,,1982-03-31 16:00,1982-03-31 16:00,1994-03-15 11:20,1994-03-15 11:20,2010-06-01 00:00,x,x,x,x,x,x,2010-06-01 00:00,,x,x,x,x,x,x
cfc-11,,1982-03-31 16:00,1982-03-31 16:00,1993-08-10 13:00,1993-08-10 13:00,,x,x,x,x,x,x,x,x,x,x,x,x,x,x
cfc-12,,1982-10-10 23:20,1982-10-10 23:20,1993-08-10 05:00,1993-08-10 05:00,,x,x,x,x,x,x,x,x,x,x,x,x,x,x
cfc-113,x,x,,1993-08-10 13:00,1993-08-10 13:00,2011-01-01 00:00,x,x,x,x,x,x,2011-01-01 00:00,x,x,x,x,x,x,x
ccl4,,1982-10-07 06:00,1982-10-07 06:00,1993-09-15 22:50,1993-09-15 22:50,,x,x,x,x,x,x,x,x,x,x,x,x,x,x
n2o,,1982-03-08 22:30,1982-03-08 22:30,1993-08-14 05:00,1993-08-14 05:00,2019-03-07 21:59,x,x,x,x,x,x,x,x,x,x,x,x,2019-03-07 22:00,
hfc-125,x,x,x,x,x,x,x,x,x,x,,2004-02-04 14:40,2004-02-04 14:40,,x,x,x,x,x,x
hfc-134a,x,x,x,x,x,x,x,x,x,x,,2004-01-22 03:00,2004-01-22 03:00,,x,x,x,x,x,x
hfc-152a,x,x,x,x,x,x,x,x,x,x,,2004-01-22 03:00,2004-01-22 03:00,,x,x,x,x,x,x
hfc-365mfc,x,x,x,x,x,x,x,x,x,x,,2005-02-11 01:00,2005-02-11 01:00,,x,x,x,x,x,x
hcfc-22,x,x,x,x,x,x,x,x,x,x,,2004-02-04 14:40,2004-02-04 14:40,,x,x,x,x,x,x
hcfc-124,x,x,x,x,x,x,x,x,x,x,,2004-01-22 03:00,2004-01-22 03:00,,x,x,x,x,x,x
hcfc-141b,x,x,x,x,x,x,x,x,x,x,,2004-01-22 03:00,2004-01-22 03:00,,x,x,x,x,x,x
hcfc-142b,x,x,x,x,x,x,x,x,x,x,,2004-01-22 03:00,2004-01-22 03:00,,x,x,x,x,x,x
h-1211,x,x,x,x,x,x,x,x,x,x,,2004-02-04 14:40,2004-02-04 14:40,,x,x,x,x,x,x
h-1301,x,x,x,x,x,x,x,x,x,x,,2004-01-22 03:00,2004-01-22 03:00,,x,x,x,x,x,x
ch3cl,x,x,x,x,x,x,x,x,x,x,,2004-01-22 03:00,2004-01-22 03:00,,x,x,x,x,x,x
ch3br,x,x,x,x,x,x,x,x,x,x,,2004-01-22 03:00,2004-01-22 03:00,,x,x,x,x,x,x
ch2cl2,x,x,x,x,x,x,x,x,x,x,,2004-01-22 03:00,2004-01-22 03:00,,x,x,x,x,x,x
ccl2ccl2,x,x,x,x,x,x,x,x,x,x,,2004-01-22 03:00,2004-01-22 03:00,,x,x,x,x,x,x
sf6,x,x,x,x,x,x,,2005-07-19 04:00,x,x,x,x,2005-07-19 04:00,,x,x,x,x,x,x
h2,x,x,x,x,,2015-04-24 01:30,x,x,2015-04-24 01:30,,x,x,x,x,x,x,x,x,x,x
