# File specifying when to use the various ALE/GAGE/AGAGE instruments
# A blank entry in either the start or end date means that the time is unbounded at that side
# If there is no entry for a species it is assumed that it is only measured on the GCMS-Medusa
# Time periods can overlap if you want to keep both instruments
# An "x" indicates that this instrument should not be included in timeseries for this species
# Date format should be YYYY-MM-DD HH:MM
# NOTE: ENSURE CELLS ARE FORMATTED AS TEXT, NOT DATES. IF PASTING VALUES ENSURE YOU "MATCH DESTINATION FORMATTING" TO PREVENT EXCEL FROM CONVERTING TO DATE AND TIME
Species,GCTOFMS start,GCTOFMS end,GCECD start,GCECD end,GCMS-Medusa start,GCMS-Medusa end
c3f8,,,x,x,,
c4f8,,,x,x,,
sf6,x,x,2020-10-12 00:00,2023-02-05 00:00,2023-02-05 00:00,
so2f2,,,x,x,,
hfc-32,,,x,x,,
hfc-125,,,x,x,,
hfc-143a,,,x,x,,
hfc-152a,,,x,x,,
hfc-236fa,,,x,x,,
hfc-245fa,,,x,x,,
hfc-365mfc,,,x,x,,
hcfc-22,,,x,x,,
hcfc-142b,,,x,x,,
hcfc-133a,,,x,x,,
cfc-115,,,x,x,,
h-1211,,,x,x,,
ch3cl,,,x,x,,
ch3br,,,x,x,,
ch2cl2,,,x,x,,
chcl3,,,x,x,,
ccl2ccl2,,,x,x,,
hfo-1234yf,,,x,x,,
hfo-1234zee,,,x,x,,
hcfo-1233zde,,,x,x,,
clch2ch2cl,,,x,x,,
