# Mole fraction data during the ranges in this worksheet will be excluded
# Date format must by YYYY-MM-DD HH:MM
# Make sure that the cell format is text rather than Excel's date format
Species,Instrument,Start,End,Notes
cfc-11,ALE,1979-02-15 17:01,1979-02-15 23:06,Flagged by Ray Wang
cfc-11,ALE,1979-11-21 23:02,1979-11-22 11:06,Flagged by Ray Wang
cfc-11,ALE,1979-11-22 23:02,1979-11-22 23:04,Flagged by Ray Wang
cfc-11,ALE,1980-06-27 23:06,1980-06-27 23:08,Flagged by Ray Wang
cfc-11,ALE,1981-05-20 16:19,1981-05-20 16:21,Flagged by Ray Wang
cfc-11,ALE,1983-12-24 11:03,1983-12-24 11:05,Flagged by Ray Wang
cfc-12,ALE,1980-06-02 20:04,1980-06-02 20:06,Flagged by Ray Wang
cfc-12,ALE,1981-05-18 10:48,1981-05-18 10:50,Flagged by Ray Wang
cfc-12,ALE,1982-05-29 13:46,1982-05-29 13:48,Flagged by Ray Wang
cfc-12,ALE,1983-02-25 20:01,1983-02-25 20:03,Flagged by Ray Wang
cfc-12,ALE,1983-06-14 13:07,1983-06-14 13:09,Flagged by Ray Wang
cfc-12,ALE,1983-07-07 20:02,1983-07-07 20:04,Flagged by Ray Wang
ch3ccl3,ALE,1978-09-16 16:59,1978-09-16 17:01,Flagged by Ray Wang
ch3ccl3,ALE,1978-12-06 11:03,1978-12-06 11:05,Flagged by Ray Wang
ch3ccl3,ALE,1979-04-27 23:00,1979-04-27 23:02,Flagged by Ray Wang
ch3ccl3,ALE,1979-11-22 16:20,1979-11-22 16:22,Flagged by Ray Wang
ch3ccl3,ALE,1983-12-08 23:02,1983-12-08 23:04,Flagged by Ray Wang
ccl4,ALE,1980-12-05 16:19,1980-12-05 16:58,Flagged by Ray Wang
ccl4,ALE,1981-02-28 11:02,1981-02-28 11:04,Flagged by Ray Wang
ccl4,ALE,1982-03-30 23:00,1982-03-30 23:02,Flagged by Ray Wang
ccl4,ALE,1982-10-16 11:03,1982-10-16 11:05,Flagged by Ray Wang
ccl4,ALE,1983-11-15 16:52,1983-11-15 16:54,Flagged by Ray Wang
n2o,ALE,1978-10-31 15:20,1978-10-31 15:22,Flagged by Ray Wang
n2o,ALE,1980-05-26 14:11,1980-05-26 14:13,Flagged by Ray Wang
n2o,ALE,1980-06-06 20:05,1980-06-06 20:07,Flagged by Ray Wang
n2o,ALE,1981-01-12 14:02,1981-01-12 14:04,Flagged by Ray Wang
n2o,ALE,1982-03-30 14:04,1982-03-30 14:06,Flagged by Ray Wang
n2o,ALE,1982-05-26 13:47,1982-05-26 13:49,Flagged by Ray Wang
n2o,ALE,1982-10-20 14:07,1982-10-20 14:09,Flagged by Ray Wang
n2o,ALE,1983-02-25 20:01,1983-02-25 20:03,Flagged by Ray Wang
n2o,ALE,1983-05-21 08:06,1983-05-21 08:08,Flagged by Ray Wang
