# Mole fraction data during the ranges in this worksheet will be excluded
# Date format must by YYYY-MM-DD HH:MM
# Make sure that the cell format is text rather than Excel's date format
Species,Instrument,Start,End,Notes
ch4,GAGE,1990-01-08 12:09,1990-01-17 06:04,"Ray Wang (pers comm., 31/7/23): 1), CH4 data from 1990/01/08, 23:09 to 1990/01/17, 17:04 (YYYY/mm/dd, hh:mm).  2), CH4 data from 1990/02/03, 08:57 to 1990/02/05, 17:53. TIMES CONVERTED TO UTC FROM LOCAL TIME"
ch4,GAGE,1990-02-02 21:57,1990-02-05 06:53,"Ray Wang (pers comm., 31/7/23): 1), CH4 data from 1990/01/08, 23:09 to 1990/01/17, 17:04 (YYYY/mm/dd, hh:mm).  2), CH4 data from 1990/02/03, 08:57 to 1990/02/05, 17:53. TIMES CONVERTED TO UTC FROM LOCAL TIME"
cfc-113,GAGE,1982-09-05 23:10,1982-09-05 23:20,"Paul Krummel (pers comm., 31/7/23): point to flag please: CGO GAGE CFC-113 1982 09 06 0916 (local time) or 1982 09 05 2316 (UTC time)"
cfc-113,GAGE,1982-10-16 14:40,1982-10-16 14:50,MR flagged
cfc-113,GAGE,1982-10-25 14:25,1982-10-25 14:35,MR flagged
cfc-113,GAGE,1982-12-28 17:45,1982-12-28 18:55,MR flagged
cfc-11,ALE,1979-02-06 02:55,1979-02-06 02:57,Flagged by Ray Wang
cfc-11,ALE,1979-02-13 22:50,1979-02-13 22:52,Flagged by Ray Wang
cfc-11,ALE,1979-09-23 02:52,1979-09-23 02:54,Flagged by Ray Wang
cfc-11,ALE,1980-10-06 21:26,1980-10-06 21:28,Flagged by Ray Wang
cfc-11,ALE,1982-05-05 05:59,1982-05-05 06:01,Flagged by Ray Wang
cfc-11,ALE,1983-12-23 20:33,1983-12-23 20:35,Flagged by Ray Wang
cfc-11,ALE,1984-08-27 20:02,1984-08-27 20:04,Flagged by Ray Wang
cfc-11,ALE,1985-01-02 19:34,1985-01-02 19:36,Flagged by Ray Wang
cfc-11,ALE,1985-01-18 06:19,1985-01-18 07:22,Flagged by Ray Wang
cfc-11,ALE,1978-10-12 06:00,1978-10-12 07:00,MR flagged duplicate timestamp at 1622 local time
cfc-12,ALE,1978-08-07 14:10,1978-08-07 15:13,Flagged by Ray Wang
cfc-12,ALE,1978-12-01 06:05,1978-12-01 06:07,Flagged by Ray Wang
cfc-12,ALE,1981-10-24 09:04,1981-10-24 09:06,Flagged by Ray Wang
ch3ccl3,ALE,1978-10-12 06:00,1978-10-12 07:00,MR flagged duplicate timestamp at 1622 local time
ch3ccl3,ALE,1980-04-13 15:05,1980-04-13 15:07,Flagged by Ray Wang
ch3ccl3,ALE,1980-11-02 08:47,1980-11-02 08:49,Flagged by Ray Wang
ch3ccl3,ALE,1983-12-28 21:53,1983-12-28 21:55,Flagged by Ray Wang
ch3ccl3,ALE,1984-02-13 13:57,1984-02-13 13:59,Flagged by Ray Wang
ch3ccl3,ALE,1984-02-28 08:26,1984-02-28 08:28,Flagged by Ray Wang
ccl4,ALE,1980-10-13 20:57,1980-10-13 20:59,Flagged by Ray Wang
ccl4,ALE,1981-10-12 03:43,1981-10-12 03:45,Flagged by Ray Wang
ccl4,ALE,1981-10-14 08:19,1981-10-14 08:21,Flagged by Ray Wang
ccl4,ALE,1981-10-28 07:38,1981-10-28 07:40,Flagged by Ray Wang
ccl4,ALE,1982-02-24 01:36,1982-02-24 01:38,Flagged by Ray Wang
ccl4,ALE,1982-03-06 15:46,1982-03-06 15:48,Flagged by Ray Wang
ccl4,ALE,1982-05-19 15:15,1982-05-19 15:17,Flagged by Ray Wang
ccl4,ALE,1985-01-18 19:26,1985-01-18 19:28,Flagged by Ray Wang
ccl4,ALE,1985-01-23 19:29,1985-01-23 19:31,Flagged by Ray Wang
n2o,ALE,1979-05-21 16:06,1979-05-21 16:08,Flagged by Ray Wang
n2o,ALE,1979-05-24 15:55,1979-05-24 15:57,Flagged by Ray Wang
n2o,ALE,1979-07-09 14:53,1979-07-09 14:55,Flagged by Ray Wang
n2o,ALE,1980-01-14 14:55,1980-01-14 14:57,Flagged by Ray Wang
n2o,ALE,1983-02-22 11:23,1983-02-22 11:25,Flagged by Ray Wang
n2o,ALE,1983-05-09 22:26,1983-05-09 22:28,Flagged by Ray Wang
n2o,ALE,1983-08-23 04:37,1983-08-23 04:39,Flagged by Ray Wang
cfc-11,GAGE,1981-12-24 01:13,1981-12-24 02:16,Flagged by Ray Wang
cfc-11,GAGE,1983-02-09 00:48,1983-02-09 00:50,Flagged by Ray Wang
cfc-11,GAGE,1984-03-12 12:15,1984-03-12 12:17,Flagged by Ray Wang
cfc-11,GAGE,1984-03-14 19:09,1984-03-14 19:11,Flagged by Ray Wang
cfc-11,GAGE,1985-06-13 03:16,1985-06-13 03:18,Flagged by Ray Wang
cfc-11,GAGE,1986-02-07 14:43,1986-02-07 14:45,Flagged by Ray Wang
cfc-11,GAGE,1990-09-27 01:55,1990-09-27 01:57,Flagged by Ray Wang
cfc-11,GAGE,1994-12-29 22:40,1994-12-29 22:42,Flagged by Ray Wang
cfc-11,GAGE,1990-09-04 22:00,1990-09-04 23:00,MR flagged duplicate timestamp at 08:44 local time
cfc-12,GAGE,1984-04-09 03:06,1984-04-09 03:08,Flagged by Ray Wang
cfc-12,GAGE,1985-08-08 04:36,1985-08-08 04:38,Flagged by Ray Wang
cfc-12,GAGE,1986-05-04 18:57,1986-05-04 20:00,Flagged by Ray Wang
