# Mole fraction data during the ranges in this worksheet will be excluded
# Date format must by YYYY-MM-DD HH:MM
# Make sure that the cell format is text rather than Excel's date format
Species,Instrument,Start,End,Notes,Combined_only
hfc-236fa,GCMS-MteCimone,1970-01-01 00:00,2014-05-01 00:00,,
cfc-114,GCMS-MteCimone,1970-01-01 00:00,2006-01-01 00:00,,
cfc-115,GCMS-MteCimone,1970-01-01 00:00,2008-01-01 00:00,,
hfc-32,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfc-125,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfc-134a,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfc-143a,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfc-152a,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfc-227ea,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfc-236fa,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfc-245fa,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfc-365mfc,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hcfc-22,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hcfc-132b,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hcfc-133a,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hcfc-141b,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hcfc-142b,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
cfc-11,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
cfc-12,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
cfc-114,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
cfc-115,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
h-1211,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
h-1301,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
ch3cl,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
ch3br,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
ch2cl2,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
chcl3,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
ch3ccl3,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
ccl2ccl2,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
so2f2,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
c3f8,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
c4f8,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfo-1234yf,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfo-1234zee,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hcfo-1233zde,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
clch2ch2cl,GCMS-MteCimone,2022-10-09 08:19,2023-02-17 10:30,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfc-32,GCMS-MteCimone,2023-03-24 00:00,2023-04-07 00:00,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
hfc-125,GCMS-MteCimone,2023-03-24 00:00,2023-04-07 00:00,Interleaving Medusa and ADS data as per Joe Pitt suggestion 18/6/24,Y
