# Mole fraction data during the ranges in this worksheet will be excluded
# Date format must by YYYY-MM-DD HH:MM
# Make sure that the cell format is text rather than Excel's date format
Species,Instrument,Start,End,Notes
cfc-11,ALE,1981-01-01 03:17,1981-01-01 03:19,Flagged by Ray Wang
cfc-11,ALE,1982-10-21 22:32,1982-10-21 22:34,Flagged by Ray Wang
cfc-12,ALE,1980-12-30 21:04,1980-12-30 21:06,Flagged by Ray Wang
cfc-12,ALE,1981-02-19 04:52,1981-02-19 04:54,Flagged by Ray Wang
cfc-12,ALE,1981-07-20 06:39,1981-07-20 06:41,Flagged by Ray Wang
cfc-12,ALE,1981-12-11 05:12,1981-12-11 05:14,Flagged by Ray Wang
ch3ccl3,ALE,1982-03-01 03:54,1982-03-01 03:56,Flagged by Ray Wang
ccl4,ALE,1980-02-29 00:35,1980-02-29 00:37,Flagged by Ray Wang
ccl4,ALE,1981-08-12 01:20,1981-08-12 01:22,Flagged by Ray Wang
ccl4,ALE,1981-11-11 19:41,1981-11-11 19:43,Flagged by Ray Wang
ccl4,ALE,1982-02-03 20:01,1982-02-03 20:03,Flagged by Ray Wang
ccl4,ALE,1982-02-28 00:23,1982-02-28 00:25,Flagged by Ray Wang
n2o,ALE,1980-04-08 08:59,1980-04-08 09:01,Flagged by Ray Wang
n2o,ALE,1982-08-21 10:27,1982-08-21 10:29,Flagged by Ray Wang
n2o,ALE,1984-06-06 21:01,1984-06-06 21:03,Flagged by Ray Wang
cfc-11,GAGE,1984-02-04 04:35,1984-02-04 04:37,Flagged by Ray Wang
cfc-11,GAGE,1984-03-20 17:00,1984-03-20 17:02,Flagged by Ray Wang
cfc-11,GAGE,1986-05-22 05:23,1986-05-22 05:25,Flagged by Ray Wang
cfc-11,GAGE,1986-05-22 09:22,1986-05-22 09:24,Flagged by Ray Wang
cfc-11,GAGE,1988-08-04 17:50,1988-08-04 17:52,Flagged by Ray Wang
cfc-12,GAGE,1984-03-20 16:00,1984-03-20 16:02,Flagged by Ray Wang
cfc-12,GAGE,1984-03-20 20:01,1984-03-20 20:03,Flagged by Ray Wang
cfc-12,GAGE,1985-02-15 00:07,1985-02-15 00:09,Flagged by Ray Wang
cfc-113,GAGE,1985-03-21 23:59,1985-03-22 00:01,Flagged by Ray Wang
cfc-113,GAGE,1989-04-20 09:36,1989-04-20 09:38,Flagged by Ray Wang
ch3ccl3,GAGE,1984-03-20 03:58,1984-03-20 21:03,Flagged by Ray Wang
ch3ccl3,GAGE,1988-03-25 17:47,1988-03-25 17:49,Flagged by Ray Wang
ch3ccl3,GAGE,1988-03-26 01:45,1988-03-26 01:47,Flagged by Ray Wang
ch3ccl3,GAGE,1988-03-26 15:43,1988-03-26 15:45,Flagged by Ray Wang
ch3ccl3,GAGE,1989-04-20 09:36,1989-04-20 09:38,Flagged by Ray Wang
ccl4,GAGE,1987-10-07 05:18,1987-10-07 05:20,Flagged by Ray Wang
ccl4,GAGE,1988-03-13 20:27,1988-03-13 20:29,Flagged by Ray Wang
ch4,GAGE,1985-09-19 22:03,1985-10-03 16:01,Flagged by Ray Wang
ch4,GAGE,1988-02-05 21:11,1988-02-05 21:13,Flagged by Ray Wang
