# Mole fraction data during the ranges in this worksheet will be excluded
# Date format must by YYYY-MM-DD HH:MM
# Make sure that the cell format is text rather than Excel's date format
Species,Instrument,Start,End,Notes
ch4,GAGE,1970-01-01 00:00,2050-01-01 00:00,Ray Wang (pers comm 31/7/23) Remove all GAGE CH4 data from RPB
cfc-11,ALE,1978-09-27 15:03,1978-09-27 20:20,Flagged by Ray Wang
cfc-11,ALE,1978-09-28 03:01,1978-09-28 03:03,Flagged by Ray Wang
cfc-11,ALE,1978-10-27 09:02,1978-10-27 09:04,Flagged by Ray Wang
cfc-11,ALE,1980-07-17 09:24,1980-07-17 10:03,Flagged by Ray Wang
cfc-11,ALE,1980-12-09 09:59,1980-12-09 10:01,Flagged by Ray Wang
cfc-11,ALE,1981-08-08 22:03,1981-08-09 09:22,Flagged by Ray Wang
cfc-11,ALE,1981-08-09 16:02,1981-08-09 22:06,Flagged by Ray Wang
cfc-11,ALE,1981-08-12 09:59,1981-08-12 16:05,Flagged by Ray Wang
cfc-11,ALE,1982-09-29 16:02,1982-09-29 16:04,Flagged by Ray Wang
cfc-11,ALE,1983-07-17 10:07,1983-07-17 10:09,Flagged by Ray Wang
cfc-11,ALE,1983-08-16 16:02,1983-08-17 04:06,Flagged by Ray Wang
cfc-11,ALE,1983-08-20 16:02,1983-08-20 16:04,Flagged by Ray Wang
cfc-11,ALE,1983-11-02 22:04,1983-11-02 22:06,Flagged by Ray Wang
cfc-11,ALE,1984-07-26 04:04,1984-07-26 10:01,Flagged by Ray Wang
cfc-11,ALE,1984-11-04 22:03,1984-11-04 22:05,Flagged by Ray Wang
cfc-11,ALE,1984-11-05 10:01,1984-11-05 10:03,Flagged by Ray Wang
cfc-11,ALE,1984-11-06 09:23,1984-11-06 10:01,Flagged by Ray Wang
cfc-11,ALE,1985-09-12 09:19,1985-09-12 10:00,Flagged by Ray Wang
cfc-11,ALE,1985-09-13 22:02,1985-09-13 22:04,Flagged by Ray Wang
cfc-11,ALE,1985-09-18 16:02,1985-09-19 16:27,Flagged by Ray Wang
cfc-11,ALE,1985-11-16 04:04,1985-11-16 04:06,Flagged by Ray Wang
cfc-11,ALE,1985-11-16 09:59,1985-11-16 22:05,Flagged by Ray Wang
cfc-12,ALE,1978-09-16 12:41,1978-09-16 13:44,Flagged by Ray Wang
cfc-12,ALE,1979-07-17 10:00,1979-07-17 10:02,Flagged by Ray Wang
cfc-12,ALE,1979-09-03 12:14,1979-09-03 12:16,Flagged by Ray Wang
cfc-12,ALE,1980-07-17 01:08,1980-07-17 07:11,Flagged by Ray Wang
cfc-12,ALE,1980-09-09 13:02,1980-09-09 13:04,Flagged by Ray Wang
cfc-12,ALE,1980-12-06 13:02,1980-12-06 13:04,Flagged by Ray Wang
cfc-12,ALE,1980-12-08 01:04,1980-12-08 01:06,Flagged by Ray Wang
cfc-12,ALE,1980-12-09 13:02,1980-12-09 13:04,Flagged by Ray Wang
cfc-12,ALE,1981-08-09 01:04,1981-08-09 19:06,Flagged by Ray Wang
cfc-12,ALE,1981-08-12 13:03,1981-08-12 19:06,Flagged by Ray Wang
cfc-12,ALE,1981-09-28 13:01,1981-09-28 19:05,Flagged by Ray Wang
cfc-12,ALE,1981-10-15 19:03,1981-10-16 01:06,Flagged by Ray Wang
cfc-12,ALE,1982-08-04 18:59,1982-08-04 19:01,Flagged by Ray Wang
cfc-12,ALE,1982-09-29 13:02,1982-09-29 19:05,Flagged by Ray Wang
cfc-12,ALE,1982-10-18 19:03,1982-10-18 19:05,Flagged by Ray Wang
cfc-12,ALE,1983-07-17 13:11,1983-07-17 13:13,Flagged by Ray Wang
cfc-12,ALE,1983-08-16 19:03,1983-08-17 01:06,Flagged by Ray Wang
cfc-12,ALE,1983-08-20 13:02,1983-08-20 19:06,Flagged by Ray Wang
cfc-12,ALE,1983-09-06 13:02,1983-09-06 13:04,Flagged by Ray Wang
cfc-12,ALE,1983-11-03 01:05,1983-11-03 01:07,Flagged by Ray Wang
cfc-12,ALE,1983-11-03 13:02,1983-11-03 19:06,Flagged by Ray Wang
cfc-12,ALE,1984-07-26 01:05,1984-07-26 07:08,Flagged by Ray Wang
cfc-12,ALE,1984-09-05 13:02,1984-09-05 13:04,Flagged by Ray Wang
cfc-12,ALE,1984-11-04 13:03,1984-11-04 13:05,Flagged by Ray Wang
cfc-12,ALE,1984-11-05 19:06,1984-11-06 13:04,Flagged by Ray Wang
cfc-12,ALE,1985-09-11 19:02,1985-09-11 19:04,Flagged by Ray Wang
cfc-12,ALE,1985-09-18 19:03,1985-09-19 13:04,Flagged by Ray Wang
cfc-12,ALE,1985-11-16 01:04,1985-11-16 07:07,Flagged by Ray Wang
cfc-12,ALE,1985-11-17 01:04,1985-11-17 01:06,Flagged by Ray Wang
ch3ccl3,ALE,1978-09-26 20:19,1978-09-26 20:21,Flagged by Ray Wang
ch3ccl3,ALE,1978-09-27 03:02,1978-09-27 03:04,Flagged by Ray Wang
ch3ccl3,ALE,1978-09-27 20:59,1978-09-27 21:01,Flagged by Ray Wang
ch3ccl3,ALE,1979-07-17 06:59,1979-07-17 07:01,Flagged by Ray Wang
ch3ccl3,ALE,1980-07-17 04:08,1980-07-17 04:10,Flagged by Ray Wang
ch3ccl3,ALE,1980-12-07 22:03,1980-12-07 22:05,Flagged by Ray Wang
ch3ccl3,ALE,1981-04-23 04:04,1981-04-23 04:06,Flagged by Ray Wang
ch3ccl3,ALE,1981-08-08 22:03,1981-08-08 22:05,Flagged by Ray Wang
ch3ccl3,ALE,1981-08-09 16:02,1981-08-09 22:06,Flagged by Ray Wang
ch3ccl3,ALE,1981-08-12 09:59,1981-08-12 16:05,Flagged by Ray Wang
ch3ccl3,ALE,1981-12-07 04:04,1981-12-07 04:06,Flagged by Ray Wang
ch3ccl3,ALE,1983-08-16 22:03,1983-08-17 04:06,Flagged by Ray Wang
ch3ccl3,ALE,1983-08-20 09:21,1983-08-20 16:04,Flagged by Ray Wang
ch3ccl3,ALE,1983-11-04 00:00,1983-11-04 00:02,Flagged by Ray Wang
ch3ccl3,ALE,1984-07-26 04:04,1984-07-26 10:01,Flagged by Ray Wang
ch3ccl3,ALE,1984-07-29 04:00,1984-07-29 04:02,Flagged by Ray Wang
ch3ccl3,ALE,1984-09-05 16:02,1984-09-05 16:04,Flagged by Ray Wang
ch3ccl3,ALE,1984-11-06 16:02,1984-11-06 16:04,Flagged by Ray Wang
ch3ccl3,ALE,1985-09-12 09:19,1985-09-12 16:04,Flagged by Ray Wang
