# Mole fraction data during the ranges in this worksheet will be excluded
# Date format must by YYYY-MM-DD HH:MM
# Make sure that the cell format is text rather than Excel's date format
Species,Instrument,Start,End,Notes
n2o,GAGE,1995-12-31 00:00,2050-01-01 00:00,"Ray Wang (pers comm., 31/7/23): remove all N2O after Dec. 1995 (i.e. from 1996/01/01 to the end of GAGE period)."
cfc-11,GAGE,1989-07-01 10:19,1989-07-01 10:21,Flagged by Ray Wang
cfc-11,GAGE,1992-06-01 14:03,1992-06-01 14:05,Flagged by Ray Wang
cfc-11,GAGE,1994-04-26 02:00,1994-04-26 02:02,Flagged by Ray Wang
cfc-11,GAGE,1996-09-09 22:47,1996-09-09 22:49,Flagged by Ray Wang
cfc-12,GAGE,1989-07-01 10:19,1989-07-01 10:21,Flagged by Ray Wang
cfc-12,GAGE,1991-10-19 21:18,1991-10-19 21:20,Flagged by Ray Wang
cfc-12,GAGE,1991-10-20 07:18,1991-10-20 07:20,Flagged by Ray Wang
cfc-12,GAGE,1992-11-16 06:08,1992-11-16 06:10,Flagged by Ray Wang
cfc-12,GAGE,1993-02-06 06:30,1993-02-06 06:32,Flagged by Ray Wang
cfc-12,GAGE,1993-03-29 20:31,1993-03-29 20:33,Flagged by Ray Wang
cfc-12,GAGE,1993-03-31 10:24,1993-03-31 10:26,Flagged by Ray Wang
cfc-12,GAGE,1993-07-17 22:59,1993-07-17 23:01,Flagged by Ray Wang
cfc-12,GAGE,1993-07-20 20:48,1993-07-20 20:50,Flagged by Ray Wang
cfc-12,GAGE,1993-08-27 20:30,1993-08-27 20:32,Flagged by Ray Wang
cfc-12,GAGE,1996-09-09 22:47,1996-09-09 22:49,Flagged by Ray Wang
cfc-113,GAGE,1989-07-01 10:19,1992-01-17 02:30,Flagged by Ray Wang
cfc-113,GAGE,1992-09-02 04:10,1992-09-02 04:12,Flagged by Ray Wang
cfc-113,GAGE,1992-09-02 12:09,1992-09-02 12:11,Flagged by Ray Wang
cfc-113,GAGE,1992-09-02 16:09,1992-09-02 16:11,Flagged by Ray Wang
cfc-113,GAGE,1992-09-05 04:29,1992-09-05 04:31,Flagged by Ray Wang
cfc-113,GAGE,1994-04-26 04:00,1994-04-26 04:02,Flagged by Ray Wang
cfc-113,GAGE,1994-04-28 07:52,1994-04-28 07:54,Flagged by Ray Wang
cfc-113,GAGE,1996-09-06 00:54,1996-09-06 00:56,Flagged by Ray Wang
