# AGAGE GCMD data release schedule
# DO NOT CHANGE THE FORMAT OF THIS SPREADSHEET
# ALL GRID CELLS MUST BE IN TEXT FORMAT (NOT DATE FORMAT)
# Date format YYYY-MM-DD HH:MM
# All data will be processed until the general release date unless specified in the table
# x indicates that no part of the record will be processed
# General release date: 2024-04-01 00:00
Species,MHD,THD,RPB,SMO,CGO,TAC
cfc-11,,,,2019-11-21 00:00,,x
cfc-12,,,,2019-11-21 00:00,,x
cfc-113 ,2010-11-30 00:00,2011-07-01 00:00,2005-07-31 00:00,2011-06-30 00:00,2010-12-31 00:00,x
ch3ccl3,2014-06-30 00:00,2012-05-16 00:00,2010-10-31 00:00,2010-12-31 00:00,2010-05-31 00:00,x
ccl4,,,,2019-11-21 00:00,,x
n2o,,,,2019-11-21 00:00,,
ch4,,,2017-02-15 00:00,2019-11-21 00:00,,x
chcl3,,,,2019-11-21 00:00,,x
co,,x,x,x,x,
sf6,x,x,x,x,x,
h2,,x,x,x,,x
