# AGAGE GCMD data release schedule
# DO NOT CHANGE THE FORMAT OF THIS SPREADSHEET
# ALL GRID CELLS MUST BE IN TEXT FORMAT (NOT DATE FORMAT)
# Date format YYYY-MM-DD HH:MM
# All data will be processed until the "general release date" unless specified in the table
# "x" indicates that no part of the record will be processed
# General release date: 2025-01-01 00:00
Species,MHD,THD,RPB,SMO,CGO,JFJ,ZEP,CMN,GSN,TAC,TOB,SIO
hfc-23,,,,,,,,,2022-07-01 00:00,,,x
hfc-32,,,,,,,,,2020-01-01 00:00,,,x
hfc-125,,,,,,,,,2020-01-01 00:00,,,x
hfc-134a,,,,,,,,,2020-01-01 00:00,,,x
hfc-143a,,,,,,,,,2020-01-01 00:00,,,x
hfc-152a,,,,,,,,,2020-01-01 00:00,,,x
hfc-227ea,,,,,,,,,x,,,x
hfc-236fa,,,,,,,,,x,,,x
hfc-245fa,,,,,,,,,x,,,x
hfc-365mfc,,,,,,,,,x,,,x
hfc-4310mee,2023-01-01 00:00,2023-01-01 00:00,2023-01-01 00:00,2023-01-01 00:00,2023-01-01 00:00,2023-01-01 00:00,2023-01-01 00:00,2023-01-01 00:00,x,2023-01-01 00:00,2023-01-01 00:00,x
hcfc-22,,,,,,,,,2020-01-01 00:00,,,x
hcfc-124,,,,,,,,,x,,,x
hcfc-132b,,,,,,,,,2020-01-01 00:00,,x,x
hcfc-133a,,,,,,,,,2020-01-01 00:00,,,x
hcfc-141b,,,,,,,,,2021-01-01 00:00,,,x
hcfc-142b,,,,,,2021-04-01 00:00,,,2018-01-01 00:00,,,x
cfc-11,2021-01-01,x,x,x,x,,,,2020-01-01 00:00,,x,x
cfc-12,x,x,x,x,x,,,,2020-01-01 00:00,,,x
cfc-13,,,,,,,,,2018-01-01 00:00,,,x
cfc-113,2018-01-01 00:00,2018-01-01 00:00,2018-01-01 00:00,2018-01-01 00:00,2018-01-01 00:00,2018-01-01 00:00,2018-01-01 00:00,x,2018-01-01 00:00,2018-01-01 00:00,x,x
cfc-114,2018-01-01 00:00,2018-01-01 00:00,2018-01-01 00:00,2018-01-01 00:00,2018-01-01 00:00,2018-01-01 00:00,2018-01-01 00:00,x,2018-01-01 00:00,2018-01-01 00:00,x,x
cfc-115,,,,,,,,,2018-01-01 00:00,,,x
h-1211,,,,,,,,,2018-01-01 00:00,,,x
h-1301,,,,,,,,,2021-01-01 00:00,,,x
h-2402,,,,,,,,,2018-01-01 00:00,,,x
ch3cl,,,,,,,,,2018-01-01 00:00,,,x
ch3br,,,,,,,,,2020-01-01 00:00,,,x
ch2cl2,,,,,,,,,2018-01-01 00:00,,,x
chcl3,,,,,,,,,2018-01-01 00:00,,,x
ch3ccl3,,,,,,,,,2018-01-01 00:00,,,x
ccl4,x,x,x,x,x,,x,x,2020-01-01 00:00,,,x
chclccl2,x,x,x,x,x,x,x,x,x,x,x,x
ccl2ccl2,,,,,,,,,x,,,x
sf6,,,,,,,,,2019-01-01 00:00,,,x
so2f2,,,,,,,,,2020-01-01 00:00,,,x
nf3,,,,,,,,,x,x,,x
cf4,,,,,,,,,2020-01-01 00:00,,x,x
c2f6,,,,,,,,,2020-01-01 00:00,,,x
c3f8,,,,,,,,,2018-01-01 00:00,,,x
c4f8,,,,,,,,,2018-01-01 00:00,,,x
c6h5ch3,x,x,x,x,x,x,x,x,x,x,x,x
c6h6,,,,,,,,,,,x,x
hfo-1234yf,,,,,,,,,,,,x
hfo-1234zee,,,,,,,,,,,,x
hcfo-1233zde,,,,,,,,,,,,x
clch2ch2cl,,,,,,,,,,,,
c2h6,,,,,,,,,,,,x
ch3i,,,,,,,,,,x,,x
chbr3,,,,,,,,,,,,x
c3h8,,,,,,,,,,,,x
ch2br2,,,,,,,,,,,,x
c6f14,,,,,,,,,,,,x
desflurane,,,,,,,,x,,,x,x
