# AGAGE GCMD data release schedule
# DO NOT CHANGE THE FORMAT OF THIS SPREADSHEET
# ALL GRID CELLS MUST BE IN TEXT FORMAT (NOT DATE FORMAT)
# Date format YYYY-MM-DD HH:MM
# All data will be processed until the "general release date" unless specified in the table
# "x" indicates that no part of the record will be processed
# General release date: 2025-01-01 00:00
Species,CMN
hfc-23,x
hfc-32,
hfc-125,
hfc-134a,
hfc-143a,
hfc-152a,
hfc-227ea,
hfc-236fa,
hfc-245fa,
hfc-365mfc,
hfc-4310mee,x
hcfc-22,
hcfc-124,x
hcfc-132b,
hcfc-133a,
hcfc-141b,
hcfc-142b,
cfc-11,
cfc-12,
cfc-13,x
cfc-113,x
cfc-114,2018-01-01 00:00
cfc-115,
h-1211,
h-1301,
h-2402,x
ch3cl,
ch3br,
ch2cl2,
chcl3,
ch3ccl3,
ccl4,
chclccl2,x
ccl2ccl2,
sf6,x
so2f2,
nf3,x
cf4,x
c2f6,x
c3f8,
c4f8,
hfo-1234yf,
hfo-1234zee,
hcfo-1233zde,
clch2ch2cl,
