# AGAGE GCMD data release schedule
# DO NOT CHANGE THE FORMAT OF THIS SPREADSHEET
# ALL GRID CELLS MUST BE IN TEXT FORMAT (NOT DATE FORMAT)
# Date format YYYY-MM-DD HH:MM
# All data will be processed until the "general release date" unless specified in the table
# "x" indicates that no part of the record will be processed
# General release date: 2025-01-01 00:00
Species,TOB
c3f8,
c4f8,
sf6,x
so2f2,
hfc-32,
hfc-125,
hfc-134a,x
hfc-143a,
hfc-152a,
hfc-236fa,
hfc-245fa,
hfc-365mfc,
hcfc-22,
hcfc-132b,x
hcfc-142b,
hcfc-133a,
cfc-115,
h-1211,
ch3cl,
ch3br,
ch2cl2,
chcl3,
chclccl2,x
ccl2ccl2,
c6h6,x
c6h5ch3,x
hfo-1234yf,
hfo-1234zee,
hcfo-1233zde,
clch2ch2cl,
